
time 01h 49m 40s, episodes 9110, frames 2.202111M, mean epr 37.32, run loss 2061.78
time 01h 49m 50s, episodes 9127, frames 2.205738M, mean epr -55.09, run loss 3169.29
time 01h 50m 01s, episodes 9139, frames 2.209342M, mean epr -164.59, run loss 4090.71
time 01h 50m 12s, episodes 9151, frames 2.213070M, mean epr -319.51, run loss 3952.89
time 01h 50m 22s, episodes 9162, frames 2.216694M, mean epr -38.24, run loss 2454.03
time 01h 50m 33s, episodes 9173, frames 2.220350M, mean epr -73.57, run loss 3058.44
time 01h 50m 45s, episodes 9186, frames 2.224467M, mean epr 5.70, run loss 2665.07
time 01h 50m 55s, episodes 9200, frames 2.227856M, mean epr -94.25, run loss 3136.95
time 01h 51m 07s, episodes 9213, frames 2.231773M, mean epr -205.27, run loss 2201.57
time 01h 51m 17s, episodes 9226, frames 2.235258M, mean epr -272.37, run loss 3729.31
time 01h 51m 28s, episodes 9234, frames 2.238940M, mean epr -96.85, run loss 3004.10
time 01h 51m 38s, episodes 9251, frames 2.242367M, mean epr -78.15, run loss 1447.91
time 01h 51m 49s, episodes 9260, frames 2.245855M, mean epr -19.90, run loss 3347.46
time 01h 51m 59s, episodes 9269, frames 2.249126M, mean epr 24.75, run loss 3135.44
time 01h 52m 11s, episodes 9282, frames 2.253332M, mean epr -31.16, run loss 2611.23
time 01h 52m 21s, episodes 9295, frames 2.256782M, mean epr -74.67, run loss 3232.57
time 01h 52m 32s, episodes 9308, frames 2.260273M, mean epr -163.31, run loss 1705.38
time 01h 52m 43s, episodes 9319, frames 2.263926M, mean epr -225.77, run loss 3634.95
time 01h 52m 53s, episodes 9333, frames 2.267219M, mean epr 19.17, run loss 2049.86
time 01h 53m 03s, episodes 9344, frames 2.270612M, mean epr 0.55, run loss 2867.27
time 01h 53m 14s, episodes 9353, frames 2.274259M, mean epr -9.51, run loss 2478.25
time 01h 53m 24s, episodes 9364, frames 2.277629M, mean epr -174.27, run loss 3566.35
time 01h 53m 34s, episodes 9380, frames 2.281228M, mean epr -190.26, run loss 3045.04
time 01h 53m 45s, episodes 9387, frames 2.284939M, mean epr -269.90, run loss 3688.00
time 01h 53m 55s, episodes 9401, frames 2.288334M, mean epr -181.00, run loss 2141.67
time 01h 54m 05s, episodes 9409, frames 2.291885M, mean epr -44.10, run loss 1677.08
time 01h 54m 15s, episodes 9426, frames 2.295415M, mean epr 26.16, run loss 1929.07
time 01h 54m 26s, episodes 9430, frames 2.298975M, mean epr -17.63, run loss 2420.66
time 01h 54m 36s, episodes 9437, frames 2.302486M, mean epr -163.17, run loss 3380.13
time 01h 54m 47s, episodes 9443, frames 2.306171M, mean epr 272.80, run loss 2773.44
time 01h 54m 57s, episodes 9456, frames 2.309609M, mean epr 0.07, run loss 2426.52
time 01h 55m 07s, episodes 9468, frames 2.312979M, mean epr 181.16, run loss 2837.58
time 01h 55m 19s, episodes 9477, frames 2.316945M, mean epr -200.24, run loss 4072.01
time 01h 55m 30s, episodes 9485, frames 2.320390M, mean epr 49.44, run loss 1463.62
time 01h 55m 40s, episodes 9503, frames 2.324016M, mean epr 258.01, run loss 2548.49
time 01h 55m 52s, episodes 9512, frames 2.327899M, mean epr -24.74, run loss 3425.45
time 01h 56m 02s, episodes 9524, frames 2.331374M, mean epr -171.50, run loss 2932.88
time 01h 56m 12s, episodes 9536, frames 2.334994M, mean epr -171.40, run loss 3163.84
time 01h 56m 23s, episodes 9542, frames 2.338690M, mean epr -240.52, run loss 3638.04
time 01h 56m 33s, episodes 9555, frames 2.342057M, mean epr -156.58, run loss 3854.26
time 01h 56m 43s, episodes 9562, frames 2.345539M, mean epr 248.97, run loss 3412.26
time 01h 56m 54s, episodes 9569, frames 2.348976M, mean epr -41.85, run loss 2602.48
time 01h 57m 04s, episodes 9578, frames 2.352399M, mean epr 24.97, run loss 2624.64
time 01h 57m 14s, episodes 9588, frames 2.355787M, mean epr -246.17, run loss 5004.64
time 01h 57m 24s, episodes 9595, frames 2.359115M, mean epr -142.56, run loss 2477.85
time 01h 57m 34s, episodes 9602, frames 2.362589M, mean epr -80.34, run loss 3893.48
time 01h 57m 45s, episodes 9612, frames 2.366181M, mean epr -22.15, run loss 1814.64
time 01h 57m 55s, episodes 9618, frames 2.369443M, mean epr 145.25, run loss 1593.78
time 01h 58m 05s, episodes 9624, frames 2.372859M, mean epr 281.16, run loss 2828.56
time 01h 58m 15s, episodes 9636, frames 2.376300M, mean epr -30.76, run loss 6377.92
time 01h 58m 25s, episodes 9645, frames 2.379541M, mean epr -188.10, run loss 2919.33
time 01h 58m 35s, episodes 9656, frames 2.382995M, mean epr -240.64, run loss 2812.87
time 01h 58m 46s, episodes 9665, frames 2.386521M, mean epr 204.01, run loss 1093.79
time 01h 58m 56s, episodes 9677, frames 2.389939M, mean epr 64.83, run loss 2329.89
time 01h 59m 06s, episodes 9687, frames 2.393228M, mean epr -47.38, run loss 3274.71
time 01h 59m 18s, episodes 9702, frames 2.397189M, mean epr 279.01, run loss 3192.98
time 01h 59m 28s, episodes 9706, frames 2.400692M, mean epr 60.19, run loss 2200.57
time 01h 59m 39s, episodes 9718, frames 2.404399M, mean epr -9.80, run loss 2429.92
time 01h 59m 49s, episodes 9726, frames 2.407685M, mean epr 259.28, run loss 3248.84
time 02h 00m 00s, episodes 9738, frames 2.410738M, mean epr 0.01, run loss 2212.05
time 02h 00m 10s, episodes 9748, frames 2.414214M, mean epr 1.25, run loss 3998.82
time 02h 00m 20s, episodes 9756, frames 2.417340M, mean epr -162.32, run loss 3037.33
time 02h 00m 31s, episodes 9765, frames 2.421026M, mean epr -259.00, run loss 4704.49
time 02h 00m 43s, episodes 9779, frames 2.424903M, mean epr -177.40, run loss 3037.18
time 02h 00m 53s, episodes 9785, frames 2.428151M, mean epr 31.83, run loss 2567.16
time 02h 01m 03s, episodes 9789, frames 2.431552M, mean epr -203.55, run loss 3928.45
time 02h 01m 14s, episodes 9792, frames 2.435197M, mean epr -178.31, run loss 3170.62
time 02h 01m 26s, episodes 9799, frames 2.438870M, mean epr -8.88, run loss 3915.59
time 02h 01m 36s, episodes 9805, frames 2.442086M, mean epr 187.24, run loss 4579.17
time 02h 01m 47s, episodes 9815, frames 2.445496M, mean epr 53.90, run loss 3640.41
time 02h 01m 57s, episodes 9817, frames 2.448896M, mean epr -87.69, run loss 5799.15
time 02h 02m 07s, episodes 9823, frames 2.452063M, mean epr 275.56, run loss 4265.93
time 02h 02m 17s, episodes 9834, frames 2.455272M, mean epr -147.47, run loss 3109.12
time 02h 02m 28s, episodes 9838, frames 2.458656M, mean epr -16.30, run loss 3192.20
time 02h 02m 38s, episodes 9849, frames 2.462337M, mean epr -15.32, run loss 2141.02
time 02h 02m 48s, episodes 9853, frames 2.465757M, mean epr -163.00, run loss 2999.12
time 02h 02m 58s, episodes 9855, frames 2.469110M, mean epr -111.16, run loss 4586.56
time 02h 03m 10s, episodes 9861, frames 2.472772M, mean epr 7.58, run loss 3133.51
time 02h 03m 20s, episodes 9867, frames 2.476122M, mean epr 25.82, run loss 3793.66
time 02h 03m 31s, episodes 9871, frames 2.479748M, mean epr 73.95, run loss 1712.86
time 02h 03m 41s, episodes 9874, frames 2.483090M, mean epr 293.50, run loss 2687.71
time 02h 03m 52s, episodes 9879, frames 2.486472M, mean epr -259.88, run loss 5457.94
time 02h 04m 02s, episodes 9883, frames 2.489709M, mean epr 236.56, run loss 3498.79
time 02h 04m 12s, episodes 9885, frames 2.493014M, mean epr 26.88, run loss 1132.80
time 02h 04m 22s, episodes 9888, frames 2.496285M, mean epr 108.62, run loss 1338.73
time 02h 04m 32s, episodes 9891, frames 2.499535M, mean epr 6.64, run loss 3334.14
time 02h 04m 44s, episodes 9898, frames 2.503354M, mean epr 168.59, run loss 1587.91
time 02h 04m 56s, episodes 9901, frames 2.507290M, mean epr -14.04, run loss 1629.91
time 02h 05m 07s, episodes 9903, frames 2.510692M, mean epr -194.85, run loss 3055.23
time 02h 05m 19s, episodes 9906, frames 2.514354M, mean epr 78.74, run loss 2972.14
time 02h 05m 29s, episodes 9909, frames 2.517833M, mean epr 165.12, run loss 6972.22
time 02h 05m 40s, episodes 9910, frames 2.521273M, mean epr -169.66, run loss 3599.08
time 02h 05m 51s, episodes 9912, frames 2.524603M, mean epr -55.56, run loss 3553.52
time 02h 06m 01s, episodes 9915, frames 2.527880M, mean epr -14.99, run loss 4677.85
time 02h 06m 12s, episodes 9915, frames 2.531470M, mean epr -14.99, run loss 4677.85
time 02h 06m 22s, episodes 9916, frames 2.534579M, mean epr 54.02, run loss 2202.67
time 02h 06m 34s, episodes 9917, frames 2.538239M, mean epr 100.72, run loss 2655.65
time 02h 06m 46s, episodes 9923, frames 2.541824M, mean epr 145.53, run loss 4518.78
time 02h 06m 57s, episodes 9923, frames 2.545052M, mean epr 145.53, run loss 4518.78
time 02h 07m 09s, episodes 9925, frames 2.548820M, mean epr -49.03, run loss 3846.78
time 02h 07m 19s, episodes 9926, frames 2.552011M, mean epr -24.71, run loss 5839.67
time 02h 07m 29s, episodes 9928, frames 2.555186M, mean epr -13.19, run loss 3062.00
time 02h 07m 39s, episodes 9929, frames 2.558200M, mean epr 275.28, run loss 3919.54
time 02h 07m 49s, episodes 9932, frames 2.561211M, mean epr 5.44, run loss 3350.13
time 02h 08m 00s, episodes 9932, frames 2.564307M, mean epr 5.44, run loss 3350.13
time 02h 08m 10s, episodes 9932, frames 2.567279M, mean epr 5.44, run loss 3350.13
time 02h 08m 22s, episodes 9932, frames 2.570860M, mean epr 5.44, run loss 3350.13
time 02h 08m 33s, episodes 9933, frames 2.574255M, mean epr -37.08, run loss 2199.73
time 02h 08m 45s, episodes 9936, frames 2.577827M, mean epr 164.60, run loss 4289.29
time 02h 08m 55s, episodes 9938, frames 2.580751M, mean epr -160.81, run loss 4193.36
time 02h 09m 06s, episodes 9938, frames 2.584154M, mean epr -160.81, run loss 4193.36
time 02h 09m 17s, episodes 9938, frames 2.587723M, mean epr -160.81, run loss 4193.36
time 02h 09m 27s, episodes 9941, frames 2.590765M, mean epr 18.42, run loss 3596.50
time 02h 09m 37s, episodes 9944, frames 2.593820M, mean epr 83.10, run loss 2787.04
time 02h 09m 47s, episodes 9946, frames 2.596765M, mean epr -87.73, run loss 5370.74
time 02h 09m 57s, episodes 9948, frames 2.599662M, mean epr -203.50, run loss 3714.67
time 02h 10m 07s, episodes 9952, frames 2.602538M, mean epr 151.45, run loss 4603.44
time 02h 10m 17s, episodes 9956, frames 2.605489M, mean epr -217.98, run loss 5734.32
time 02h 10m 27s, episodes 9960, frames 2.608542M, mean epr -509.82, run loss 6599.67
time 02h 10m 39s, episodes 9963, frames 2.611993M, mean epr -409.92, run loss 5472.32
time 02h 10m 49s, episodes 9969, frames 2.614986M, mean epr -871.89, run loss 9841.73
time 02h 11m 00s, episodes 9973, frames 2.618627M, mean epr 130.60, run loss 5448.31
time 02h 11m 11s, episodes 9981, frames 2.621904M, mean epr -136.61, run loss 7015.30
time 02h 11m 22s, episodes 9983, frames 2.625253M, mean epr -80.00, run loss 3052.92
time 02h 11m 33s, episodes 9987, frames 2.628874M, mean epr 61.59, run loss 5333.67
time 02h 11m 43s, episodes 9992, frames 2.632050M, mean epr 258.53, run loss 4328.07
time 02h 11m 53s, episodes 9993, frames 2.635291M, mean epr 226.14, run loss 3541.83
time 02h 12m 03s, episodes 9996, frames 2.638483M, mean epr 33.59, run loss 2203.66
time 02h 12m 14s, episodes 9996, frames 2.641830M, mean epr 33.59, run loss 2203.66
time 02h 12m 25s, episodes 10000, frames 2.645550M, mean epr -14.01, run loss 1798.89
time 02h 12m 36s, episodes 10000, frames 2.648908M, mean epr -14.01, run loss 1798.89
time 02h 12m 46s, episodes 10000, frames 2.651931M, mean epr -14.01, run loss 1798.89
time 02h 12m 56s, episodes 10000, frames 2.655058M, mean epr -14.01, run loss 1798.89
time 02h 13m 08s, episodes 10000, frames 2.658698M, mean epr -14.01, run loss 1798.89
time 02h 13m 20s, episodes 10001, frames 2.662258M, mean epr 282.82, run loss 1949.55
time 02h 13m 30s, episodes 10007, frames 2.665354M, mean epr -570.60, run loss 7450.31
time 02h 13m 41s, episodes 10011, frames 2.668823M, mean epr 39.89, run loss 5157.75
time 02h 13m 51s, episodes 10011, frames 2.672272M, mean epr 39.89, run loss 5157.75
time 02h 14m 01s, episodes 10011, frames 2.675466M, mean epr 39.89, run loss 5157.75
time 02h 14m 12s, episodes 10012, frames 2.678967M, mean epr 21.10, run loss 3411.22
time 02h 14m 23s, episodes 10013, frames 2.682174M, mean epr 262.41, run loss 4057.28
time 02h 14m 33s, episodes 10013, frames 2.685252M, mean epr 262.41, run loss 4057.28
time 02h 14m 43s, episodes 10014, frames 2.688301M, mean epr 236.67, run loss 4263.04
time 02h 14m 54s, episodes 10016, frames 2.691946M, mean epr 6.19, run loss 5660.61
time 02h 15m 05s, episodes 10017, frames 2.694875M, mean epr 258.64, run loss 2820.68
time 02h 15m 16s, episodes 10018, frames 2.697936M, mean epr 249.79, run loss 2906.75
time 02h 15m 27s, episodes 10018, frames 2.701085M, mean epr 249.79, run loss 2906.75
time 02h 15m 37s, episodes 10020, frames 2.704271M, mean epr -264.61, run loss 3988.28
time 02h 15m 49s, episodes 10023, frames 2.707964M, mean epr -40.83, run loss 8713.59
time 02h 16m 00s, episodes 10027, frames 2.711163M, mean epr -345.14, run loss 4614.64
time 02h 16m 10s, episodes 10028, frames 2.714451M, mean epr -85.22, run loss 4717.32
time 02h 16m 20s, episodes 10029, frames 2.717534M, mean epr -143.12, run loss 4121.96
time 02h 16m 31s, episodes 10029, frames 2.721057M, mean epr -143.12, run loss 4121.96
time 02h 16m 43s, episodes 10029, frames 2.724438M, mean epr -143.12, run loss 4121.96
time 02h 16m 53s, episodes 10029, frames 2.727338M, mean epr -143.12, run loss 4121.96
time 02h 17m 04s, episodes 10030, frames 2.730839M, mean epr -394.28, run loss 5010.35
time 02h 17m 15s, episodes 10034, frames 2.734447M, mean epr 27.79, run loss 4117.07
time 02h 17m 27s, episodes 10036, frames 2.738022M, mean epr -241.01, run loss 4996.34
time 02h 17m 39s, episodes 10037, frames 2.741588M, mean epr -160.94, run loss 1636.24
time 02h 17m 50s, episodes 10039, frames 2.745030M, mean epr -206.07, run loss 4107.63
time 02h 18m 01s, episodes 10043, frames 2.748348M, mean epr -205.82, run loss 5027.73
time 02h 18m 11s, episodes 10044, frames 2.751537M, mean epr 221.08, run loss 3435.01
time 02h 18m 22s, episodes 10045, frames 2.755079M, mean epr -107.11, run loss 4426.93
time 02h 18m 33s, episodes 10046, frames 2.758216M, mean epr -245.10, run loss 6081.21
time 02h 18m 43s, episodes 10046, frames 2.761563M, mean epr -245.10, run loss 6081.21
time 02h 18m 54s, episodes 10048, frames 2.765026M, mean epr -34.35, run loss 4068.94
time 02h 19m 05s, episodes 10049, frames 2.768500M, mean epr -244.68, run loss 5870.09
time 02h 19m 15s, episodes 10049, frames 2.771610M, mean epr -244.68, run loss 5870.09
time 02h 19m 27s, episodes 10049, frames 2.775077M, mean epr -244.68, run loss 5870.09
time 02h 19m 39s, episodes 10050, frames 2.778676M, mean epr -227.35, run loss 5611.25
time 02h 19m 49s, episodes 10051, frames 2.781939M, mean epr -311.23, run loss 7350.75
time 02h 20m 00s, episodes 10051, frames 2.785212M, mean epr -311.23, run loss 7350.75
time 02h 20m 10s, episodes 10052, frames 2.788377M, mean epr 86.11, run loss 4645.19
time 02h 20m 20s, episodes 10052, frames 2.791379M, mean epr 86.11, run loss 4645.19
time 02h 20m 31s, episodes 10052, frames 2.794586M, mean epr 86.11, run loss 4645.19
time 02h 20m 43s, episodes 10052, frames 2.797958M, mean epr 86.11, run loss 4645.19
time 02h 20m 53s, episodes 10052, frames 2.800911M, mean epr 86.11, run loss 4645.19
time 02h 21m 05s, episodes 10052, frames 2.804429M, mean epr 86.11, run loss 4645.19
time 02h 21m 17s, episodes 10052, frames 2.808014M, mean epr 86.11, run loss 4645.19
time 02h 21m 29s, episodes 10052, frames 2.811536M, mean epr 86.11, run loss 4645.19
time 02h 21m 40s, episodes 10052, frames 2.814878M, mean epr 86.11, run loss 4645.19
time 02h 21m 52s, episodes 10054, frames 2.818316M, mean epr -354.14, run loss 7547.72
time 02h 22m 02s, episodes 10054, frames 2.821245M, mean epr -354.14, run loss 7547.72
time 02h 22m 12s, episodes 10054, frames 2.824202M, mean epr -354.14, run loss 7547.72
time 02h 22m 22s, episodes 10056, frames 2.827293M, mean epr -236.75, run loss 6591.67
time 02h 22m 33s, episodes 10056, frames 2.830384M, mean epr -236.75, run loss 6591.67
time 02h 22m 45s, episodes 10056, frames 2.833876M, mean epr -236.75, run loss 6591.67
time 02h 22m 56s, episodes 10059, frames 2.837207M, mean epr -445.70, run loss 4678.32
time 02h 23m 07s, episodes 10059, frames 2.840554M, mean epr -445.70, run loss 4678.32
time 02h 23m 20s, episodes 10059, frames 2.844285M, mean epr -445.70, run loss 4678.32
time 02h 23m 30s, episodes 10059, frames 2.847333M, mean epr -445.70, run loss 4678.32
time 02h 23m 41s, episodes 10059, frames 2.850376M, mean epr -445.70, run loss 4678.32
time 02h 23m 51s, episodes 10060, frames 2.853602M, mean epr -486.63, run loss 7092.36
time 02h 24m 01s, episodes 10061, frames 2.856480M, mean epr -462.25, run loss 6915.30
time 02h 24m 11s, episodes 10061, frames 2.859355M, mean epr -462.25, run loss 6915.30
time 02h 24m 22s, episodes 10061, frames 2.862599M, mean epr -462.25, run loss 6915.30
time 02h 24m 34s, episodes 10061, frames 2.866019M, mean epr -462.25, run loss 6915.30
time 02h 24m 44s, episodes 10064, frames 2.868876M, mean epr -461.93, run loss 7137.09
time 02h 24m 56s, episodes 10067, frames 2.872278M, mean epr -382.11, run loss 5281.89
time 02h 25m 07s, episodes 10068, frames 2.875540M, mean epr -563.27, run loss 6748.51
time 02h 25m 19s, episodes 10070, frames 2.879011M, mean epr -753.27, run loss 6801.82
time 02h 25m 29s, episodes 10073, frames 2.881920M, mean epr -397.63, run loss 6417.23
time 02h 25m 39s, episodes 10073, frames 2.884845M, mean epr -397.63, run loss 6417.23
time 02h 25m 49s, episodes 10073, frames 2.887801M, mean epr -397.63, run loss 6417.23
time 02h 26m 00s, episodes 10073, frames 2.890980M, mean epr -397.63, run loss 6417.23
time 02h 26m 10s, episodes 10074, frames 2.894086M, mean epr -327.82, run loss 6520.08
time 02h 26m 20s, episodes 10074, frames 2.897001M, mean epr -327.82, run loss 6520.08
time 02h 26m 33s, episodes 10074, frames 2.900617M, mean epr -327.82, run loss 6520.08
time 02h 26m 43s, episodes 10074, frames 2.903624M, mean epr -327.82, run loss 6520.08
time 02h 26m 53s, episodes 10075, frames 2.906669M, mean epr -763.53, run loss 7324.81
time 02h 27m 04s, episodes 10075, frames 2.909660M, mean epr -763.53, run loss 7324.81
time 02h 27m 14s, episodes 10075, frames 2.912604M, mean epr -763.53, run loss 7324.81
time 02h 27m 24s, episodes 10075, frames 2.915552M, mean epr -763.53, run loss 7324.81
time 02h 27m 34s, episodes 10076, frames 2.918562M, mean epr -811.56, run loss 6783.06
time 02h 27m 46s, episodes 10077, frames 2.921803M, mean epr -725.31, run loss 7364.23
time 02h 27m 56s, episodes 10078, frames 2.924746M, mean epr -765.23, run loss 6402.21
time 02h 28m 07s, episodes 10080, frames 2.927927M, mean epr 111.02, run loss 5477.57
time 02h 28m 17s, episodes 10081, frames 2.930961M, mean epr -526.63, run loss 7080.07
time 02h 28m 28s, episodes 10085, frames 2.934132M, mean epr -385.21, run loss 6648.49
time 02h 28m 38s, episodes 10086, frames 2.937138M, mean epr -523.71, run loss 7223.91
time 02h 28m 48s, episodes 10086, frames 2.940084M, mean epr -523.71, run loss 7223.91
time 02h 28m 58s, episodes 10087, frames 2.943117M, mean epr -524.76, run loss 5609.45
time 02h 29m 09s, episodes 10087, frames 2.946348M, mean epr -524.76, run loss 5609.45
time 02h 29m 19s, episodes 10087, frames 2.949323M, mean epr -524.76, run loss 5609.45
time 02h 29m 29s, episodes 10087, frames 2.952370M, mean epr -524.76, run loss 5609.45
time 02h 29m 39s, episodes 10089, frames 2.955397M, mean epr -772.74, run loss 7733.98
time 02h 29m 49s, episodes 10089, frames 2.958357M, mean epr -772.74, run loss 7733.98
time 02h 29m 59s, episodes 10089, frames 2.961392M, mean epr -772.74, run loss 7733.98
time 02h 30m 11s, episodes 10089, frames 2.964684M, mean epr -772.74, run loss 7733.98
time 02h 30m 21s, episodes 10090, frames 2.967697M, mean epr -744.65, run loss 6426.08
time 02h 30m 31s, episodes 10090, frames 2.970580M, mean epr -744.65, run loss 6426.08
time 02h 30m 43s, episodes 10092, frames 2.973901M, mean epr -749.60, run loss 6263.90
time 02h 30m 53s, episodes 10092, frames 2.976896M, mean epr -749.60, run loss 6263.90
time 02h 31m 03s, episodes 10092, frames 2.979657M, mean epr -749.60, run loss 6263.90
time 02h 31m 13s, episodes 10092, frames 2.982542M, mean epr -749.60, run loss 6263.90
time 02h 31m 23s, episodes 10093, frames 2.985379M, mean epr -569.66, run loss 6553.91
time 02h 31m 35s, episodes 10094, frames 2.988815M, mean epr -740.54, run loss 7200.87
time 02h 31m 45s, episodes 10095, frames 2.991745M, mean epr -712.21, run loss 9365.75
time 02h 31m 55s, episodes 10096, frames 2.994681M, mean epr -167.66, run loss 4712.50
time 02h 32m 05s, episodes 10099, frames 2.997676M, mean epr 24.37, run loss 3474.10

	3M frames: saved model

time 02h 32m 16s, episodes 10100, frames 3.000978M, mean epr -555.95, run loss 6367.54
time 02h 32m 26s, episodes 10100, frames 3.003958M, mean epr -555.95, run loss 6367.54
time 02h 32m 37s, episodes 10104, frames 3.007130M, mean epr -166.98, run loss 4194.90
time 02h 32m 47s, episodes 10107, frames 3.010186M, mean epr -84.28, run loss 1799.12
time 02h 32m 57s, episodes 10109, frames 3.013284M, mean epr 8.63, run loss 5318.90
time 02h 33m 08s, episodes 10115, frames 3.016416M, mean epr -324.75, run loss 4667.99
time 02h 33m 19s, episodes 10118, frames 3.020042M, mean epr -386.27, run loss 3803.40
time 02h 33m 29s, episodes 10125, frames 3.023320M, mean epr 195.94, run loss 2592.88
time 02h 33m 40s, episodes 10127, frames 3.026968M, mean epr 112.55, run loss 1992.10
time 02h 33m 50s, episodes 10129, frames 3.030220M, mean epr -426.79, run loss 4968.11
time 02h 34m 01s, episodes 10130, frames 3.033694M, mean epr -86.43, run loss 2202.14
time 02h 34m 12s, episodes 10135, frames 3.037399M, mean epr -424.54, run loss 4938.69
time 02h 34m 22s, episodes 10137, frames 3.040691M, mean epr -435.48, run loss 4278.36
time 02h 34m 33s, episodes 10142, frames 3.044419M, mean epr -239.79, run loss 3236.69
time 02h 34m 45s, episodes 10143, frames 3.048487M, mean epr 86.19, run loss 1303.62
time 02h 34m 56s, episodes 10143, frames 3.052253M, mean epr 86.19, run loss 1303.62
time 02h 35m 07s, episodes 10143, frames 3.056117M, mean epr 86.19, run loss 1303.62
time 02h 35m 19s, episodes 10146, frames 3.059889M, mean epr 51.84, run loss 1823.04
time 02h 35m 29s, episodes 10147, frames 3.063312M, mean epr 82.44, run loss 840.71
time 02h 35m 40s, episodes 10148, frames 3.066942M, mean epr 111.62, run loss 981.02
time 02h 35m 52s, episodes 10149, frames 3.070753M, mean epr 83.74, run loss 1431.94
time 02h 36m 02s, episodes 10150, frames 3.074124M, mean epr 57.17, run loss 1457.82
time 02h 36m 12s, episodes 10151, frames 3.077524M, mean epr 43.26, run loss 1416.84
time 02h 36m 22s, episodes 10152, frames 3.080955M, mean epr 51.13, run loss 1157.89
time 02h 36m 33s, episodes 10152, frames 3.084696M, mean epr 51.13, run loss 1157.89
time 02h 36m 45s, episodes 10152, frames 3.088458M, mean epr 51.13, run loss 1157.89
time 02h 36m 57s, episodes 10153, frames 3.092208M, mean epr -15.30, run loss 1497.46
time 02h 37m 07s, episodes 10154, frames 3.095475M, mean epr -56.09, run loss 2288.61
time 02h 37m 18s, episodes 10154, frames 3.099118M, mean epr -56.09, run loss 2288.61
time 02h 37m 28s, episodes 10154, frames 3.102511M, mean epr -56.09, run loss 2288.61
time 02h 37m 39s, episodes 10154, frames 3.105942M, mean epr -56.09, run loss 2288.61
time 02h 37m 50s, episodes 10156, frames 3.109194M, mean epr -500.91, run loss 4339.39
time 02h 38m 01s, episodes 10158, frames 3.112886M, mean epr -8.47, run loss 1901.92
time 02h 38m 11s, episodes 10158, frames 3.116055M, mean epr -8.47, run loss 1901.92
time 02h 38m 21s, episodes 10159, frames 3.119182M, mean epr 59.98, run loss 1682.92
time 02h 38m 31s, episodes 10161, frames 3.122286M, mean epr -43.90, run loss 2406.54
time 02h 38m 41s, episodes 10162, frames 3.125469M, mean epr -175.51, run loss 2767.07
time 02h 38m 53s, episodes 10163, frames 3.129217M, mean epr -93.07, run loss 2197.70
time 02h 39m 03s, episodes 10164, frames 3.132431M, mean epr -88.22, run loss 2998.49
time 02h 39m 13s, episodes 10164, frames 3.135546M, mean epr -88.22, run loss 2998.49
time 02h 39m 23s, episodes 10164, frames 3.138563M, mean epr -88.22, run loss 2998.49
time 02h 39m 34s, episodes 10166, frames 3.141980M, mean epr -178.38, run loss 3759.92
time 02h 39m 46s, episodes 10166, frames 3.145651M, mean epr -178.38, run loss 3759.92
time 02h 39m 56s, episodes 10166, frames 3.148824M, mean epr -178.38, run loss 3759.92
time 02h 40m 06s, episodes 10167, frames 3.151915M, mean epr -79.46, run loss 3136.29
time 02h 40m 16s, episodes 10171, frames 3.155010M, mean epr -193.51, run loss 2478.60
time 02h 40m 26s, episodes 10172, frames 3.158295M, mean epr -133.05, run loss 3859.83
time 02h 40m 36s, episodes 10172, frames 3.161418M, mean epr -133.05, run loss 3859.83
time 02h 40m 48s, episodes 10173, frames 3.165015M, mean epr -127.26, run loss 2549.82
time 02h 40m 58s, episodes 10174, frames 3.168194M, mean epr -242.48, run loss 3283.45
time 02h 41m 10s, episodes 10175, frames 3.171836M, mean epr -242.67, run loss 5066.49
time 02h 41m 21s, episodes 10175, frames 3.175474M, mean epr -242.67, run loss 5066.49
time 02h 41m 31s, episodes 10175, frames 3.178638M, mean epr -242.67, run loss 5066.49
time 02h 41m 43s, episodes 10175, frames 3.182228M, mean epr -242.67, run loss 5066.49
time 02h 41m 53s, episodes 10175, frames 3.185385M, mean epr -242.67, run loss 5066.49
time 02h 42m 03s, episodes 10175, frames 3.188492M, mean epr -242.67, run loss 5066.49
time 02h 42m 13s, episodes 10175, frames 3.191624M, mean epr -242.67, run loss 5066.49
time 02h 42m 23s, episodes 10175, frames 3.194773M, mean epr -242.67, run loss 5066.49
time 02h 42m 34s, episodes 10175, frames 3.197835M, mean epr -242.67, run loss 5066.49
time 02h 42m 44s, episodes 10175, frames 3.201020M, mean epr -242.67, run loss 5066.49
time 02h 42m 55s, episodes 10175, frames 3.204281M, mean epr -242.67, run loss 5066.49
time 02h 43m 05s, episodes 10175, frames 3.207338M, mean epr -242.67, run loss 5066.49
time 02h 43m 15s, episodes 10175, frames 3.210456M, mean epr -242.67, run loss 5066.49
time 02h 43m 27s, episodes 10175, frames 3.214006M, mean epr -242.67, run loss 5066.49
time 02h 43m 37s, episodes 10178, frames 3.217045M, mean epr -668.16, run loss 5088.71
time 02h 43m 47s, episodes 10180, frames 3.220113M, mean epr -313.93, run loss 4874.81
time 02h 43m 57s, episodes 10180, frames 3.223235M, mean epr -313.93, run loss 4874.81
time 02h 44m 09s, episodes 10180, frames 3.226786M, mean epr -313.93, run loss 4874.81
time 02h 44m 21s, episodes 10181, frames 3.230162M, mean epr -398.11, run loss 4911.21
time 02h 44m 31s, episodes 10181, frames 3.233275M, mean epr -398.11, run loss 4911.21
